iter	TotalF1	MultiClass
0	0.989844524	1.249402905
1	0.9947428386	0.9679521561
2	0.9951605169	0.7831163221
3	0.9979764986	0.6503570196
4	0.9980029198	0.5477755269
5	0.997996311	0.465804197
6	0.9993096378	0.3993658631
7	0.9993652073	0.3444984943
8	0.9993717348	0.2985516776
9	0.9994109034	0.2593815482
10	0.9994500657	0.2262325066
11	0.9994697532	0.1979635028
12	0.9994991241	0.1734198846
13	0.9989728928	0.152149546
14	0.9995154406	0.1339038454
15	0.9995219647	0.1179350483
16	0.9996425837	0.1039831995
17	0.999649113	0.09177399205
18	0.9993122431	0.08114539182
19	0.99913594	0.07182781413
20	0.999129188	0.06359558185
21	0.9990855133	0.05639150138
22	0.9992019137	0.05004184965
23	0.9991619784	0.04449257075
24	0.9993333689	0.03940330936
25	0.9992802758	0.03505746419
26	0.999290063	0.03121569387
